object model	Object Definition Language	-1
object model	Object database	1
Object Definition Language	object model	0
Object database	object model	-1
Object database	Object-relational database	-1
Fifth normal form	First normal form	-1
Fifth normal form	Table (database)	0
Fifth normal form	Fourth normal form	-1
Fifth normal form	Join dependency	-1
Fifth normal form	candidate key	0
Fifth normal form	relational database	0
Fifth normal form	Boyce-Codd normal form	-1
Fifth normal form	Second normal form	-1
Fifth normal form	Database normalization	-1
Fifth normal form	Third normal form	-1
First normal form	SQL	0
First normal form	Fifth normal form	0
First normal form	Tuple	0
First normal form	Boyce-Codd normal form	1
First normal form	Second normal form	1
First normal form	Database normalization	-1
First normal form	Third normal form	0
First normal form	Data domain	0
First normal form	Relation (database)	0
First normal form	Relational model	0
First normal form	Functional dependency	-1
First normal form	unique key	0
Table (database)	materialized view	0
Table (database)	Database security	0
Table (database)	Database schema	0
Table (database)	Database index	0
Table (database)	Delete (SQL)	1
Table (database)	referential integrity	0
Table (database)	relational database	0
Table (database)	Data definition language	0
Table (database)	Database normalization	1
Table (database)	Check constraint	1
Table (database)	Data domain	1
Table (database)	Database trigger	0
Table (database)	Update (SQL)	1
Table (database)	Tuple	1
Table (database)	flat file database	0
Table (database)	Join (SQL)	1
Fourth normal form	Fifth normal form	0
Fourth normal form	Table (database)	0
Fourth normal form	candidate key	-1
Fourth normal form	relational database	-1
Fourth normal form	Boyce-Codd normal form	-1
Fourth normal form	Second normal form	-1
Fourth normal form	Database normalization	-1
Fourth normal form	Third normal form	-1
Fourth normal form	Functional dependency	-1
Fourth normal form	Multivalued dependency	-1
Join dependency	Multivalued dependency	1
Join dependency	Functional dependency	0
Join dependency	Fifth normal form	0
candidate key	First normal form	1
candidate key	Fourth normal form	0
candidate key	referential integrity	0
candidate key	relational database	-1
candidate key	Boyce-Codd normal form	1
candidate key	Second normal form	1
candidate key	Database normalization	1
candidate key	Third normal form	1
candidate key	Database schema	0
candidate key	Relational model	-1
candidate key	Functional dependency	0
candidate key	unique key	0
relational database	Object database	0
relational database	First normal form	1
relational database	Table (database)	-1
relational database	Fourth normal form	1
relational database	candidate key	1
relational database	Database normalization	1
relational database	Relational model	1
relational database	Conceptual schema	0
relational database	database design	1
relational database	weak entity	0
relational database	unique key	1
relational database	SQL	1
relational database	Foreign key	0
relational database	Data definition language	0
relational database	Data domain	1
relational database	Database schema	0
relational database	Insert (SQL)	0
relational database	Where (SQL)	0
relational database	Query plan	0
relational database	bitmap index	0
relational database	data integrity	0
relational database	Object-relational database	1
relational database	deductive database	0
relational database	query optimization	0
relational database	Cartesian product	-1
relational database	Tuple	-1
relational database	entity integrity	0
relational database	referential integrity	1
relational database	B-tree	0
relational database	flat file database	0
relational database	Stored procedure	0
