Public finance	Macroeconomics	-1
Public finance	Security (finance)	0
Public finance	Government debt	1
Public finance	Money	0
Public finance	Economics	0
Public finance	Tax	0
Public finance	Currency	0
Public finance	Seigniorage	0
Public finance	Inflation	0
Public finance	Government spending	0
Public finance	Central bank	0
Public finance	Government budget	1
Public finance	Debt	0
Public finance	Government budget balance	0
Macroeconomics	Public finance	1
Macroeconomics	Quantity theory of money	0
Macroeconomics	Bank	0
Macroeconomics	Aggregate supply	0
Macroeconomics	Government budget balance	0
Macroeconomics	Aggregate demand	0
Macroeconomics	Stabilization policy	0
Macroeconomics	Labour economics	1
Macroeconomics	Labor force	0
Macroeconomics	Fixed exchange-rate system	0
Government debt	Public finance	-1
Government debt	Government budget balance	1
Money	Monetary system	1
Money	Store of value	0
Money	Medium of exchange	0
Money	Government debt	0
Money	Tax	0
Money	Currency	1
Money	Inflation	0
Money	Government spending	0
Money	Central bank	0
Money	Government budget balance	0
Money	Aggregate demand	0
Money	Goods and services	0
Money	Fractional-reserve banking	0
Money	New Keynesian economics	0
Money	Investment	0
Money	Bank	0
Money	Money multiplier	1
Money	Money creation	1
Money	Federal Reserve System	0
Money	Exchange rate	0
Money	Monetary base	1
Money	demand shock	0
Money	Stock	0
Money	Hyperinflation	0
Money	Financial market	0
Money	Commodity money	1
Economics	Macroeconomics	1
Economics	Unit of account	0
Economics	Money	0
Economics	Real versus nominal value (economics)	0
Economics	Cobb-Douglas production function	0
Economics	Distribution (economics)	0
Economics	Inflation	0
Economics	Central bank	0
Economics	Aggregate supply	0
Economics	Aggregate demand	0
Economics	Moral hazard	0
Economics	Stabilization policy	0
Economics	Goods and services	0
Economics	Information asymmetry	0
Economics	Monetary policy	0
Economics	Quantity theory of money	0
Economics	Economic equilibrium	0
Economics	Tax	0
Economics	Investment	0
Economics	Adverse selection	0
Economics	Exchange rate	0
Economics	Equation of exchange	0
Economics	Monetary base	0
Economics	Mundell-Fleming model	0
Economics	demand shock	0
Economics	Economic indicator	0
Economics	Labour economics	1
Economics	Labor force	0
Economics	Medium of exchange	0
Economics	Natural rate of unemployment	0
Economics	Financial market	0
Economics	Commodity money	0
Economics	Life-cycle hypothesis	0
Economics	Factors of production	0
Economics	Measures of national income and output	0
Economics	Profit maximization	0
Tax	Government debt	0
Tax	Inflation tax	1
Tax	Inflation	0
Tax	Government spending	0
Tax	Government budget balance	1
Tax	Factors of production	0
Currency	Monetary system	0
Currency	Store of value	0
Currency	Medium of exchange	0
Currency	Exchange rate	0
Currency	Money	-1
Currency	Commodity money	0
Currency	Tax	0
Currency	Monetary base	0
Currency	Hyperinflation	0
Currency	Inflation	0
Currency	Nominal interest rate	0
Currency	Central bank	0
Currency	Bank	1
Currency	Money supply	0
Currency	Federal Reserve System	0
Currency	Financial market	0
Currency	Stock	0
Currency	Monetary policy	0
Currency	Fixed exchange-rate system	0
Currency	Aggregate demand	0
Seigniorage	Hyperinflation	0
Seigniorage	Government spending	0
Seigniorage	Money	0
Seigniorage	Commodity money	0
Seigniorage	Tax	0
Seigniorage	Monetary inflation	0
Seigniorage	Inflation	-1
Seigniorage	Inflation tax	0
Seigniorage	Central bank	0
Seigniorage	Fiat money	0
Seigniorage	Money supply	0
Seigniorage	Full-reserve banking	0
Seigniorage	Gold standard	0
Seigniorage	Monetary policy	0
Inflation	Macroeconomics	0
Inflation	Seigniorage	1
Inflation	Central bank	0
